藏文	汉译	频次	出处	已入主表
བྱམས་སྙིང་རྗེ	慈悲	1	宝性论大疏	
ཞུམ་པ	心怯	1	宝性论大疏	
སྐྱེད་པ	发菩提心	1	宝性论大疏	
རྐྱེན་གྱིས	缘起	1	宝性论大疏	
གང་ཞེ་ན	云何名为	1	宝性论大疏	是
དོགས་པ	疑惑	1	宝性论大疏	
རྟོགས་པ་ཕུན་ཚོགས	证圆满	1	宝性论大疏	
བརྗོད་པ	如云	1	宝性论大疏	是
ཁྱུ་མཆོག	众中尊	1	宝性论大疏	是
ས་བདག	国王	1	宝性论大疏	
སྐུ་ཡོན	功德	1	宝性论大疏	
རིན་པོ་ཆེ	宝藏	1	宝性论大疏	
རྒྱལ་པོ	国王	1	宝性论大疏	
ཕུལ་དུ་བྱུང་བ	殊胜	1	宝性论大疏	
ཤུན་པ	糠秕	1	宝性论大疏	
སོ་སོ	各自	1	宝性论大疏	是
ལུས་ཤེས	身识	1	宝性论大疏	
མིག་ཤེས	眼识	1	宝性论大疏	
འཕགས་པ་ཆེན་པོ	大圣	1	宝性论大疏	
འབྱུང་བ་བཞི	四大	1	宝性论大疏	
ཡུལ་དྲུག	六境	1	宝性论大疏	
ཉེས་སྐྱོན	过失	1	宝性论大疏	
ཐོས་པ	见闻	1	宝性论大疏	是
སྐྱེད་བྱེད་ཀྱི་རྒྱུ	能生因	1	宝性论大疏	
སྒྲིམ་པ	策励	1	宝性论大疏	
རྟག་པ	如虚空	1	宝性论大疏	是
བཅོ་ལྔ	十五	1	宝性论大疏	
ཡུད་ཙམ	须臾	1	宝性论大疏	
བསམ་པའི་ཤེས་རབ	思慧	1	宝性论大疏	
རྟོག་དཔྱོད	寻伺	1	宝性论大疏	
བདེ་བ	安乐	1	宝性论大疏	是
དངོས་རྒྱུ	亲因	1	宝性论大疏	
ཆུབ་པ	圆满	1	宝性论大疏	
འགའ་ཞིག	少分	1	宝性论大疏	
སྔ་དྲོ	上午	1	宝性论大疏	
ཕྱི་དྲོ	下午	1	宝性论大疏	
མཚན་བཟང་པོ་སུམ་ཅུ་རྩ་གཉིས	三十二相	1	宝性论大疏	
མཚན་དཔེ	三十二相	1	宝性论大疏	
སྐུ་བཞི	智慧法身	1	宝性论大疏	
སེན་མོ	指甲	1	宝性论大疏	
བརྒྱད་ཅུ	八十	1	宝性论大疏	
ཁ་ན་མ་ཐོ་བ	罪过	1	宝性论大疏	
གཏོང་བ	布施	1	宝性论大疏	
ཐ་མི་དད་པ	无差别	1	宝性论大疏	
ཡོན་ཏན་ལྔ	五功德	1	宝性论大疏	是
མི་འཆད་པ	不断	1	宝性论大疏	
འདོད་པ	满足	1	宝性论大疏	是
མ་གྲུབ་པ	无自性	1	宝性论大疏	
མངོན་པར་འདུ་བྱེད་པ	造作	1	宝性论大疏	
རྩྭ་མཆོག	上茅	1	宝性论大疏	
བསྙེན་རྫོགས	近圆	1	宝性论大疏	
སྒྱུ་རྩལ	技艺	1	宝性论大疏	
སྐྱེ་བ	降生	1	宝性论大疏	是
བལྟམས་པ	降生	1	宝性论大疏	
དཀར་པོ	白莲	1	宝性论大疏	
བཀར་བཏགས	法印	1	宝性论大疏	
སྦྱོར་ལམ	加行道	1	宝性论大疏	
གྲངས་མེད་པ	阿僧祗	1	宝性论大疏	是
རྩ་བ་ཤེས་རབ	空性	1	宝性论大疏	
རིགས་པ	道理	1	宝性论大疏	是
མདོར་བསྡུས	简略	1	宝性论大疏	是
ཐེག་ཆེན་གྱི་ལམ	大乘道	1	宝性论大疏	
ཟད་མི་ཤེས་པ	无尽	1	宝性论大疏	
མཐའ་གཉིས	槃二边	1	宝性论大疏	是
འཆི་བདག	死主	1	宝性论大疏	
ཞི་བའི་གནས	寂静处	1	宝性论大疏	
ཕན་བདེ	利乐	1	宝性论大疏	
གོང་ན་མེད་པ	无上	1	宝性论大疏	
དཔག་བྱ	所比度	1	宝性论大疏	
བྱང་ཆུབ་གསུམ	三菩提	1	宝性论大疏	
སྔ་མ	往昔	1	宝性论大疏	
བདེན་པ	圣谛	1	宝性论大疏	是
ནགས་སྟུག	密林	1	宝性论大疏	
སྐྲག་པ	畏惧	1	宝性论大疏	
འཇིགས་པ	畏惧	1	宝性论大疏	是
རི་དྭགས་དབང་པོ	兽王	1	宝性论大疏	
ལམ་ལོག	歧途	1	宝性论大疏	
སྤྱོད་པས་བསྡུས་པ་དྲུག	行所摄六	1	宝性论大疏	
འདུན་པ	之心	1	宝性论大疏	是
བཏང་སྙོམས	之心	1	宝性论大疏	
ཐོགས་པ	滞碍	1	宝性论大疏	
གཟུགས་ཅན	有色	1	宝性论大疏	
མཚུངས་པ	等同	1	宝性论大疏	是
སོར་མོ	足指	1	宝性论大疏	
སོར་མོ	相连	1	宝性论大疏	
འཇམ་པ	柔软	1	宝性论大疏	
གསང་ཚིག	秘密语	1	宝性论大疏	
གསང་གནས	秘密	1	宝性论大疏	
རྒྱས་པ	广大	1	宝性论大疏	
རོ་སྟོད	上身	1	宝性论大疏	
མཐོ་དམན	高低	1	宝性论大疏	
དགེ་བ་བཅུ	十善	1	宝性论大疏	
བཞི་བཅུ	四十	1	宝性论大疏	
བླ་འོག	上下	1	宝性论大疏	
མཉམ་པ	平齐	1	宝性论大疏	是
རིང་ཐུང	长短	1	宝性论大疏	
ལས་གསུམ	三业	1	宝性论大疏	
ཚངས་པའི་དབྱངས	梵音	1	宝性论大疏	
འབྱེས་པ	分明	1	宝性论大疏	
དཀར་ནག	黑白分明	1	宝性论大疏	
རྫི་མ	睫毛	1	宝性论大疏	
གཙུག་ཏོར	顶髻	1	宝性论大疏	
སེམས་ལས་སུ་རུང་བ	心堪能	1	宝性论大疏	
དབུ་སྐྲ	头发	1	宝性论大疏	
ཆུ་ཞེང་གབ་པ	六合平整	1	宝性论大疏	
ཀུན་ཏུ་བཟང་པོ	普贤	1	宝性论大疏	
མི་དབང	人王	1	宝性论大疏	
གོ་ཆ	铠甲	1	宝性论大疏	
རྡོ་རྗེ	不坏	1	宝性论大疏	是
བསམ་པ	意乐坚固	1	宝性论大疏	
རྩལ་ལྡན	具力	1	宝性论大疏	
འདས་པ	出世	1	宝性论大疏	是
འཇིག་རྟེན་ལས་འདས	超出世间	1	宝性论大疏	是
ཡིད་ཚིམ	满足	1	宝性论大疏	
རྒྱས་པ	增长	1	宝性论大疏	
ཉི་འོད	日光	1	宝性论大疏	
འབྲས་བུའི་ཐེག་པ	果乘	1	宝性论大疏	
རྒྱུའི་ཐེག་པ	因乘	1	宝性论大疏	
དུས་གང	何时	1	宝性论大疏	
བྱེད་པ	如云	1	宝性论大疏	是
དཔེ་གཉིས	二喻	1	宝性论大疏	
སྟོན་པ	表示	1	宝性论大疏	是
སོམ་ཉི	疑惑	1	宝性论大疏	
ས་སྟེང	地面	1	宝性论大疏	是
གཞལ་ཡས	无量	1	宝性论大疏	
ཁང་བཟང	无量宫	1	宝性论大疏	
ལྷ་གནས	天界	1	宝性论大疏	
ལྷའི་དབང་པོ	天王	1	宝性论大疏	是
བསྙེན་གནས	近住戒	1	宝性论大疏	
བསོད་སྙོམས	乞食	1	宝性论大疏	
ངམ་གྲོག	深渊	1	宝性论大疏	
ཕྱོགས་པ	显现	1	宝性论大疏	
བསྙེན་གནས	近住	1	宝性论大疏	
བུད་མེད	女人	1	宝性论大疏	
ཐུབ་དབང	能仁	1	宝性论大疏	
ཉེ་བར་འཚེ་བ	损害	1	宝性论大疏	
རྔ་བོ་ཆེ	大鼓	1	宝性论大疏	
སུམ་ཅུ་རྩ་གསུམ	三十三天	1	宝性论大疏	
ཟླུམ་པོ	圆形	1	宝性论大疏	
ལྷའི་གྲོང	天城	1	宝性论大疏	
མི་འཇིགས་པ་སྦྱིན་པ	无畏施	1	宝性论大疏	
ཕྲག་དོག	烦恼嫉妒	1	宝性论大疏	
རྗེས་སུ	随后	1	宝性论大疏	
ཅིའི་ཕྱིར	何故	1	宝性论大疏	
ཕན་པ	饶益	1	宝性论大疏	
དགའ་བ	喜乐	1	宝性论大疏	是
རྒོད་པ	掉举	1	宝性论大疏	
རྗེས་སུ་སྟོན་པ	教诫	1	宝性论大疏	
ཆོ་འཕྲུལ་གསུམ	神境神变	1	宝性论大疏	是
རྗེས་སུ་བསྟན་པའི་ཆོ་འཕྲུལ	教诫神变	1	宝性论大疏	
ཟབ་པ	微细	1	宝性论大疏	
ཆུའི་ཕུང་པོ	水蕴	1	宝性论大疏	
སྙིང་པོ	中央	1	宝性论大疏	
དཔའ་བར་འགྲོ་བ	健行	1	宝性论大疏	
བསིལ་བ	清凉	1	宝性论大疏	
བསླབ་པ་གསུམ	三学	1	宝性论大疏	
སྤྲིན་གྱི་སྙིང་པོ	云藏	1	宝性论大疏	
སྡང་བ	瞋恨	1	宝性论大疏	
བཏང་སྙོམས	中庸	1	宝性论大疏	
འབར་བ	增长	1	宝性论大疏	
མི་དགའ་བ	不喜	1	宝性论大疏	
སྡུག་པ	愁苦	1	宝性论大疏	是
རི་སུལ	沟壑	1	宝性论大疏	
གྲོག་སྦུར	蝼蚁	1	宝性论大疏	
ཐིགས་པ	雨点	1	宝性论大疏	
དོན་གཉེར	追求	1	宝性论大疏	是
ཞན་པ	下劣	1	宝性论大疏	
སྤྲུལ་སྐུ	化身	1	宝性论大疏	
མི་སྣང་བ	不现	1	宝性论大疏	
སངས་རྒྱས་རྗེས་སུ་དྲན་པ	随念佛	1	宝性论大疏	
ཐོ་རངས	黎明	1	宝性论大疏	
ཀུན་གསལ	虚空	1	宝性论大疏	
ངེས་ལེགས	解脱	1	宝性论大疏	
དོན་མེད	无益	1	宝性论大疏	
བློ་གསལ	明慧	1	宝性论大疏	
ཟས་གོས	衣食	1	宝性论大疏	
ཐ་དད་པ	分别	1	宝性论大疏	是
བར་སྣང	空中	1	宝性论大疏	是
འདའ་བ	超越	1	宝性论大疏	是
བརྟན་པ	大地	1	宝性论大疏	
ལ་སོགས་པ	等等	1	宝性论大疏	
རང་བཞིན་གྱི་གཏན་ཚིགས	自性因	1	宝性论大疏	
མཐུན་དཔེ	同喻	1	宝性论大疏	
ཚངས་པ	清净	1	宝性论大疏	是
ཕྱི་རོལ	外界	1	宝性论大疏	
འབྱུང་བ	出现	1	宝性论大疏	是
སྤྲིན་ཆེན	大云	1	宝性论大疏	
ཆོས་ཀྱི་སྡོམ་བཞི	四法印	1	宝性论大疏	
བདེ་བ	帝释	1	宝性论大疏	是
འཕྲིན་ལས	善业	1	宝性论大疏	是
མཐར་ཕྱིན་པ	圆满	1	宝性论大疏	
ཇི་སྐད	等四	1	宝性论大疏	是
རྒྱུན་མི་འཆད	不间断	1	宝性论大疏	是
ཀུན་སློང	发心	1	宝性论大疏	是
སྦྱིན་པ	所施	1	宝性论大疏	是
ཡིད་ཆེས་པ	信解	1	宝性论大疏	
ཁྱད་པར	尤其	1	宝性论大疏	是
མི་བརྗེད	不忘	1	宝性论大疏	
ཕར་ཕྱིན	现观庄严论	1	宝性论大疏	
སྦྱིན་བྱེད	能施	1	宝性论大疏	
སྦྱིན་པའི་ཕར་ཕྱིན	蜜多	1	宝性论大疏	
གྲུབ་པ	胜利	1	宝性论大疏	是
བྱམས་པ	慈氏	1	宝性论大疏	
ཅི་འདྲ་བ	如何	1	宝性论大疏	
དོན་སོ་སོ་ཡང་དག་པར་རིག་པ	义无碍解	1	宝性论大疏	
སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི	法无碍解	1	宝性论大疏	
ལྡོག་པ	相反	1	宝性论大疏	
དྲང་སྲོང	能仁	1	宝性论大疏	是
བཀུར་སྟི	恭敬	1	宝性论大疏	
ལེགས་བཤད	善说	1	宝性论大疏	
ཆགས་སྡང	贪瞋	1	宝性论大疏	
མདོ་སྡེ	契经	1	宝性论大疏	
བཅས་པ	之义	1	宝性论大疏	
ལོག་པའི་ང་རྒྱལ	邪慢	1	宝性论大疏	
འདོད་པ	贪恋	1	宝性论大疏	是
ཟང་ཟིང	利养	1	宝性论大疏	
ལས་སྒྲིབ	业障	1	宝性论大疏	
ཉམས་པ	衰损	1	宝性论大疏	
འགྲོ་བ	恶趣	1	宝性论大疏	是
སྦྲུལ་གདུག་པ	毒蛇	1	宝性论大疏	
ལས་ཀྱི་སྒྲིབ་པ	业障	1	宝性论大疏	
གང་ཞིག	诸凡	1	宝性论大疏	是
དམ་པ	正士	1	宝性论大疏	
མཚམས་མེད	无间	1	宝性论大疏	
རྒྱུ་མཐུན་པ	等流	1	宝性论大疏	
བློ་ལྡན	智者	1	宝性论大疏	
པཎྜི་ཏ	班智达	1	宝性论大疏	
བྲམ་ཟེ	婆罗门	1	宝性论大疏	
རྗེ་བཙུན	圣者	1	宝性论大疏	是
མཐའ་བྲལ	离边	1	宝性论大疏	
ཐུབ་བསྟན	佛教	1	宝性论大疏	
དབུ་མའི་ལམ	中道	1	宝性论大疏	
འཇུག་ངོགས	津梁	1	宝性论大疏	
བཞེད་པ	意趣	1	宝性论大疏	是
དེང་ནས	从今	1	宝性论大疏	
བཟང་པོ	十七	1	宝性论大疏	
རེད་མདའ་བ	仁达瓦	1	宝性论大疏	
རྗེ་བཙུན་དམ་པ	菩萨	1	宝性论大疏	
བཤེས་གཉེན་ཆེན་པོ	大善知识	1	宝性论大疏	
དར་མ	达玛	1	宝性论大疏	
མདོ་སྔགས	显密	1	宝性论大疏	
