藏文	汉译	频次	出处	已入主表
འབྱུང་བ	出生	8	宝性论大疏	是
དེ་བཞིན	如此	8	宝性论大疏	是
དགག་བྱ	所破	8	宝性论大疏	是
བྱེད་པ	事业	8	宝性论大疏	是
ཐུགས་རྗེ	悲心	8	宝性论大疏	是
དང་པོ	根本	8	宝性论大疏	是
ས་གཞི	地基	8	宝性论大疏	是
འགོག་པའི་བདེན་པ	灭谛	8	宝性论大疏	是
འབྲེལ་བ	相属	8	宝性论大疏	是
ཤེས་རབ	智慧	8	宝性论大疏	是
སྦྲང་རྩི	蜂蜜	8	宝性论大疏	是
དྲང་སྲོང	仙人	8	宝性论大疏	是
བར་ཆད་མེད་ལམ	无间道	8	宝性论大疏	是
རང་རང	各自	7	宝性论大疏、极广胜乘中观决定	是
ཐུན་མོང	共同	7	宝性论大疏、极广胜乘中观决定	是
དུས་གསུམ	三时	7	宝性论大疏、极广胜乘中观决定	是
རང་གཞན	自他	7	宝性论大疏、极广胜乘中观决定	是
ཁྱད་ཆོས	差别	7	宝性论大疏、极广胜乘中观决定	是
རྣམ་གཞག	安立	7	宝性论大疏、极广胜乘中观决定	是
ཆེ་ཆུང	大小	7	宝性论大疏、极广胜乘中观决定	是
སྲིད་པ་གསུམ	三有	7	宝性论大疏、极广胜乘中观决定	是
སྐྱེད་བྱེད	能生	7	宝性论大疏、极广胜乘中观决定	是
ལྔ་པ	第五	7	宝性论大疏、极广胜乘中观决定	是
རྟོགས་པ	证悟	7	宝性论大疏、极广胜乘中观决定	是
རྟག་པ	不变	7	宝性论大疏、极广胜乘中观决定	是
དྲུག་པ	第六	7	宝性论大疏、极广胜乘中观决定	是
འཇིག་ཚོགས	坏聚	7	宝性论大疏、极广胜乘中观决定	是
བདག་མེད	法无我	7	宝性论大疏、极广胜乘中观决定	是
རང་གི་ངོ་བོ	自性	7	宝性论大疏、极广胜乘中观决定	是
དེ་བཞིན་ཉིད	空性	7	宝性论大疏、极广胜乘中观决定	是
འདྲ་བ	相似	7	宝性论大疏、极广胜乘中观决定	是
ཡང་དག་པ	真实	7	宝性论大疏、极广胜乘中观决定	是
དབང་བསྐུར	灌顶	7	宝性论大疏、极广胜乘中观决定	是
ལྷན་སྐྱེས	俱生	7	宝性论大疏、极广胜乘中观决定	是
ཕུན་སུམ་ཚོགས	圆满	7	宝性论大疏	是
སྐྱེ་བོ	异生	7	宝性论大疏	是
སྣང་བ	光明	7	宝性论大疏	是
མཁས་པ	智者	7	宝性论大疏	是
དོན་གཉིས	二利	7	宝性论大疏	是
ཤེས་བྱེད	能立	7	宝性论大疏	是
གཟུགས་མེད	无色	7	宝性论大疏	是
བསྟན་པ	世间	7	宝性论大疏	是
ཇི་སྐད	如是	7	宝性论大疏	是
ཡང་དག་པ	如实	7	宝性论大疏	是
གཉི་ག	二者	7	宝性论大疏	是
ཉི་མའི་དཀྱིལ་འཁོར	日轮	7	宝性论大疏	是
ཚུལ་མིན	非理作意	7	宝性论大疏	是
ཡེ་ཤེས་གཉིས	二智	7	宝性论大疏	是
བསམ་གྱིས་མི་ཁྱབ་པ	不可思议	7	宝性论大疏	是
ཀུན་ནས་ཉོན་མོངས་པ	杂染	7	宝性论大疏	是
སྤྲུལ་པ	变化	7	宝性论大疏	是
མཐའ་ཡས་པ	无边	7	宝性论大疏	是
སྐྱེ་བ་ལེན་པ	受生	7	宝性论大疏	是
བྱང་ཆུབ་ཆེན་པོ	大菩提	7	宝性论大疏	是
རྒྱལ་བ	胜者	6	宝性论大疏、极广胜乘中观决定	是
འཁྲུལ་བ	错乱	6	宝性论大疏、极广胜乘中观决定	是
བསོད་ནམས	福德	6	宝性论大疏、极广胜乘中观决定	是
བདེ་གཤེགས་སྙིང་པོ	如来藏	6	宝性论大疏、极广胜乘中观决定	是
འགྱུར་མེད	不变	6	宝性论大疏、极广胜乘中观决定	是
སྐུ་གཉིས	二身	6	宝性论大疏、极广胜乘中观决定	是
དངོས་པོ	实有	6	宝性论大疏、极广胜乘中观决定	是
བརྗོད་བྱ	所诠	6	宝性论大疏、极广胜乘中观决定	是
ཟག་བཅས	有漏	6	宝性论大疏、极广胜乘中观决定	是
དེ་ཁོ་ན	真实	6	宝性论大疏、极广胜乘中观决定	是
སྐྱེ་བོ	众生	6	宝性论大疏、极广胜乘中观决定	是
ཕན་ཚུན	彼此	6	极广胜乘中观决定	是
མཚུངས་ལྡན	相应	6	宝性论大疏、极广胜乘中观决定	是
ཁོ་ན	真实	6	极广胜乘中观决定	是
བཅུ་གཉིས	十二	6	宝性论大疏、极广胜乘中观决定	是
ཡང་སྲིད	后有	6	宝性论大疏、极广胜乘中观决定	是
བྱེ་བྲག	差别	6	宝性论大疏、极广胜乘中观决定	是
སྒོམ་ལམ	修道	6	宝性论大疏、极广胜乘中观决定	是
ལྷུན་གྲུབ	任运	6	宝性论大疏、极广胜乘中观决定	是
གྲངས་མེད	无数	6	宝性论大疏、极广胜乘中观决定	是
རྗེས་ཐོབ	后得位	6	宝性论大疏、极广胜乘中观决定	是
ཇི་སྙེད	一切	6	宝性论大疏、极广胜乘中观决定	是
ཀླུ་སྒྲུབ	龙猛	6	宝性论大疏	是
ཚོགས་ལམ	资粮道	6	宝性论大疏	是
སྤྱོད་ཡུལ	所行	6	宝性论大疏	是
རྣམ་པར་མི་རྟོག་པའི་ཡེ་ཤེས	无分别智	6	宝性论大疏	是
ཉོན་མོངས་པའི་བག་ཆགས	烦恼习气	6	宝性论大疏	是
སྦྱོང་བ	净治	6	宝性论大疏	是
འོད་ཟེར	放光	6	宝性论大疏	是
ཆོས་ཀྱི་དབང་ཕྱུག	法自在	6	宝性论大疏	是
རིགས་ཀྱི་བུ	善男子	6	宝性论大疏	是
